bone_id,group_type,group_order,period_class,sentence_simple,theme,detail_json
H30079,InscriptionSentence,0,事何,己巳卜貞王冓雨,rain,"{""keyword"": ""雨""}"
H30082,InscriptionSentence,0,無名,于壬不冓雨,rain,"{""keyword"": ""雨""}"
H30082,InscriptionSentence,1,無名,其冓雨,rain,"{""keyword"": ""雨""}"
H30082,InscriptionSentence,2,無名,不冓雨,rain,"{""keyword"": ""雨""}"
H30085,InscriptionSentence,2,無名,其冓雨,rain,"{""keyword"": ""雨""}"
H30086,InscriptionSentence,0,何二,貞其冓雨,rain,"{""keyword"": ""雨""}"
H30087,InscriptionSentence,0,事何,未释未释未释何貞冓雨,rain,"{""keyword"": ""雨""}"
H30089,InscriptionSentence,0,何二,貞其雨冓,rain,"{""keyword"": ""雨""}"
H30090,InscriptionSentence,1,何一,未释未释卜彭貞其冓雨,rain,"{""keyword"": ""雨""}"
H30092,InscriptionSentence,0,何二,其冓雨,rain,"{""keyword"": ""雨""}"
H30099,InscriptionSentence,0,無名,辛其冓雨,rain,"{""keyword"": ""雨""}"
H30105,InscriptionSentence,0,無名,丁亥卜翌日冓雨,rain,"{""keyword"": ""雨""}"
H30106,InscriptionSentence,0,事何,戊寅卜專貞王不冓雨,rain,"{""keyword"": ""雨""}"
